som_mouse_1_1,,,,,,,,,,,,
p-value,GO ID,Name,Type,Is a,Part of,Is a,Part of,Is a,Part of,Is a,Part of,Description
0.0035653,42178,xenobiotic catabolic process,biological process,6805,xenobiotic metabolic process,44248,cellular catabolic process,,,,,"The chemical reactions and pathways resulting in the breakdown of a xenobiotic compound, a compound foreign to living organisms. Used of chemical compounds, e.g. a xenobiotic chemical, such as a pesticide. [GOC:jl]"
0.0035653,46514,ceramide catabolic process,biological process,6672,ceramide metabolic process,46521,sphingoid catabolic process,,,,,"The chemical reactions and pathways resulting in the breakdown of ceramides, any N-acetylated sphingoid. [GOC:ai]"
0.0077882,8344,adult locomotory behavior,biological process,7626,locomotory behavior,30534,adult behavior,,,,,Locomotory behavior in a fully developed and mature organism. [GOC:ai]
0.010272,43124,negative regulation of I-kappaB kinase/NF-kappaB cascade,biological process,10741,negative regulation of intracellular protein kinase cascade,43122,regulation of I-kappaB kinase/NF-kappaB cascade,,,,,"Any process that stops, prevents, or reduces the frequency, rate or extent of an I-kappaB kinase/NF-kappaB induced cascade. [GOC:jl]"
0.010272,51024,positive regulation of immunoglobulin secretion,biological process,50714,positive regulation of protein secretion,51023,regulation of immunoglobulin secretion,,,,,"Any process that activates or increases the frequency, rate or extent of the regulated release of immunoglobulins from a cell or group of cells. [GOC:ai]"
0.012879,6457,protein folding,biological process,44267,cellular protein metabolic process,,,,,,,"The process of assisting in the covalent and noncovalent assembly of single chain polypeptides or multisubunit complexes into the correct tertiary structure. [GOC:go_curators, GOC:rb]"
0.016064,32729,positive regulation of interferon-gamma production,biological process,1819,positive regulation of cytokine production,32649,regulation of interferon-gamma production,,,,,"Any process that activates or increases the frequency, rate, or extent of interferon-gamma production. Interferon-gamma is also known as type II interferon. [GOC:add, GOC:mah]"
0.019733,6707,cholesterol catabolic process,biological process,8203,cholesterol metabolic process,16127,sterol catabolic process,,,,,"The chemical reactions and pathways resulting in the breakdown of cholesterol, cholest-5-en-3 beta-ol, the principal sterol of vertebrates and the precursor of many steroids, including bile acids and steroid hormones. [GOC:ai]"
0.019733,7416,synapse assembly,biological process,50808,synapse organization,71844,cellular component assembly at cellular level,,,,,"The aggregation, arrangement and bonding together of a set of components to form a synapse. [GOC:mah]"
0.019733,30854,positive regulation of granulocyte differentiation,biological process,2763,positive regulation of myeloid leukocyte differentiation,30852,regulation of granulocyte differentiation,,,,,"Any process that activates or increases the frequency, rate or extent of granulocyte differentiation. [GOC:mah]"
0.019733,60575,intestinal epithelial cell differentiation,biological process,2065,columnar/cuboidal epithelial cell differentiation,,,,,,,The process in which a relatively unspecialized cell acquires specialized features of a columnar/cuboidal epithelial cell of the intestine. [GOC:dph]
0.019733,70509,calcium ion import,biological process,70588,calcium ion transmembrane transport,,,,,,,The directed movement of calcium ions into a cell or organelle. [GOC:mah]
0.031598,8209,androgen metabolic process,biological process,8202,steroid metabolic process,34754,cellular hormone metabolic process,,,,,"The chemical reactions and pathways involving androgens, C19 steroid hormones that can stimulate the development of male sexual characteristics. [ISBN:0198506732]"
0.031598,32689,negative regulation of interferon-gamma production,biological process,1818,negative regulation of cytokine production,32649,regulation of interferon-gamma production,,,,,"Any process that stops, prevents, or reduces the frequency, rate, or extent of interferon-gamma production. Interferon-gamma is also known as type II interferon. [GOC:add, GOC:mah]"
0.031598,45721,negative regulation of gluconeogenesis,biological process,6111,regulation of gluconeogenesis,10677,negative regulation of cellular carbohydrate metabolic process,31327,negative regulation of cellular biosynthetic process,,,"Any process that stops, prevents, or reduces the frequency, rate or extent of gluconeogenesis. [GOC:go_curators]"
0.035646,6955,immune response,biological process,2376,immune system process,50896,response to stimulus,,,,,"Any immune system process that functions in the calibrated response of an organism to a potential internal or invasive threat. [GO_REF:0000022, GOC:add, GOC:mtg_15nov05]"
0.038721,32869,cellular response to insulin stimulus,biological process,32868,response to insulin stimulus,71375,cellular response to peptide hormone stimulus,,,,,"Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an insulin stimulus. Insulin is a polypeptide hormone produced by the islets of Langerhans of the pancreas in mammals, and by the homologous organs of other organisms. [GOC:mah, ISBN:0198506732]"
